steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	n_updates
10003	219	86.89884042739868	97.75	98.0	2.9520580049596696	103.0	92.0	1.996999031405734	0.0030132777388471757	9003
20080	303	184.27081274986267	125.85	125.5	3.87004815567878	136.0	117.0	3.574863804867959	0.007265183329351991	19080
30077	367	286.6664307117462	200.0	200.0	0.0	200.0	200.0	3.562025779517469	0.004844543742044519	29077
40010	423	391.03895568847656	200.0	200.0	0.0	200.0	200.0	1.5569049986749348	0.00143771301041877	39010
50003	476	494.1845860481262	200.0	200.0	0.0	200.0	200.0	1.3270207345405212	0.0009127193134261689	49003
60018	533	603.2572605609894	200.0	200.0	0.0	200.0	200.0	0.7342197734656224	0.0007033832783621038	59018
70079	589	701.5236911773682	146.63	147.0	3.3804398733557943	157.0	139.0	0.8053075500559971	0.0006568950097448234	69079
80004	648	807.6934676170349	200.0	200.0	0.0	200.0	200.0	0.8389488285445567	0.0004440963068108475	79004
90020	709	911.3247034549713	200.0	200.0	0.0	200.0	200.0	0.8377808935417232	0.0005481819959068982	89020
100000	766	1012.3071389198303	182.32	200.0	20.71006196675101	200.0	140.0	0.5349601880061322	0.0003507365197190562	99000
